iter,train_loss,val_loss
0,6.0947059988975525,6.095427853720529
20,3.701076090335846,4.036141429628644
40,2.8797087371349335,3.6630804198128835
60,2.2649511098861694,3.4986577374594554
80,1.9150718301534653,3.56475077356611
100,1.5084193050861359,3.7169550486973355
120,1.1248372197151184,3.8741584505353654
